,STUDYSOP,STATUS,DateField,PopulatedCount,% Populated,MissinnessCount,% Missingness
81,CT44,Completed,FINALREPORTDATE,1.0,20.0,4.0,80.0
82,CT44,Completed,FSFV,3.0,60.0,2.0,40.0
83,CT44,Completed,LSLV,4.0,80.0,1.0,20.0
84,CT44,Approved,COMPLETIONDATE,0.0,0.0,1.0,100.0
85,CT44,Approved,FINALREPORTDATE,0.0,0.0,1.0,100.0
86,CT44,Approved,FSFV,0.0,0.0,1.0,100.0
87,CT44,Approved,LSLV,0.0,0.0,1.0,100.0
88,CT44,Planned,COMPLETIONDATE,0.0,0.0,5.0,100.0
89,CT44,Planned,FINALREPORTDATE,0.0,0.0,5.0,100.0
90,CT44,Planned,FSFV,0.0,0.0,5.0,100.0
91,CT44,Planned,LSLV,0.0,0.0,5.0,100.0
92,CT45,Approved,COMPLETIONDATE,0.0,0.0,2.0,100.0
93,CT45,Approved,FINALREPORTDATE,0.0,0.0,2.0,100.0
94,CT45,Approved,FSFV,0.0,0.0,2.0,100.0
95,CT45,Approved,LSLV,0.0,0.0,2.0,100.0
96,CT45,Canceled,COMPLETIONDATE,0.0,0.0,6.0,100.0
97,CT45,Canceled,FINALREPORTDATE,0.0,0.0,6.0,100.0
98,CT45,Canceled,FSFV,0.0,0.0,6.0,100.0
99,CT45,Canceled,LSLV,0.0,0.0,6.0,100.0
100,CT45,Completed,COMPLETIONDATE,15.0,53.57142857142857,13.0,46.42857142857143
101,CT45,Completed,FINALREPORTDATE,18.0,64.28571428571429,10.0,35.714285714285715
102,CT45,Completed,FSFV,28.0,100.0,0.0,0.0
103,CT45,Completed,LSLV,28.0,100.0,0.0,0.0
104,CT45,Concept,COMPLETIONDATE,0.0,0.0,27.0,100.0
105,CT45,Concept,FINALREPORTDATE,0.0,0.0,27.0,100.0
106,CT45,Concept,FSFV,0.0,0.0,27.0,100.0
107,CT45,Concept,LSLV,0.0,0.0,27.0,100.0
108,CT45,Not Pursued,COMPLETIONDATE,0.0,0.0,18.0,100.0
109,CT45,Not Pursued,FINALREPORTDATE,0.0,0.0,18.0,100.0
110,CT45,Not Pursued,FSFV,0.0,0.0,18.0,100.0
111,CT45,Not Pursued,LSLV,0.0,0.0,18.0,100.0
112,CT45,Ongoing,COMPLETIONDATE,0.0,0.0,13.0,100.0
113,CT45,Ongoing,FINALREPORTDATE,1.0,7.6923076923076925,12.0,92.3076923076923
114,CT45,Ongoing,FSFV,13.0,100.0,0.0,0.0
115,CT45,Ongoing,LSLV,0.0,0.0,13.0,100.0
116,CT45,Planned,COMPLETIONDATE,0.0,0.0,1.0,100.0
117,CT45,Planned,FINALREPORTDATE,0.0,0.0,1.0,100.0
118,CT45,Planned,FSFV,0.0,0.0,1.0,100.0
119,CT45,Planned,LSLV,0.0,0.0,1.0,100.0
120,CT45,Terminated,COMPLETIONDATE,2.0,66.66666666666666,1.0,33.33333333333333
121,CT45,Terminated,FINALREPORTDATE,2.0,66.66666666666666,1.0,33.33333333333333
122,CT45,Terminated,FSFV,3.0,100.0,0.0,0.0
123,CT45,Terminated,LSLV,3.0,100.0,0.0,0.0
124,GNT01,Closed,COMPLETIONDATE,2615.0,99.92357661444402,2.0,0.07642338555598013
125,GNT01,Closed,FINALREPORTDATE,1907.0,72.86969812762706,710.0,27.130301872372947
126,GNT01,Closed,FSFV,0.0,0.0,2617.0,100.0
127,GNT01,Closed,LSLV,0.0,0.0,2617.0,100.0
